Plate,Datetime,Status
KBAA0101BAGK4,2025-07-29 17:26:48,Unauthorized
BAAG101AAGUA,2025-07-29 17:26:49,Unauthorized
KBAAG1G1EFMA,2025-07-29 17:26:49,Unauthorized
KBAAG1G1BAGMAT,2025-07-29 17:26:50,Unauthorized
KBAAG1O1,2025-07-29 17:26:51,Unauthorized
KBAAG1O1BEMAF,2025-07-29 17:26:51,Unauthorized
KBAAG1O1EEKAT,2025-07-29 17:26:52,Unauthorized
EBAA010I,2025-07-29 17:26:52,Unauthorized
BAA0101,2025-07-29 17:26:53,Unauthorized
BAAG101,2025-07-29 17:26:53,Unauthorized
EBAAG1O1,2025-07-29 17:26:54,Unauthorized
EBAAG101,2025-07-29 17:26:55,Unauthorized
BAA01O1,2025-07-29 17:26:56,Unauthorized
1BAA0101,2025-07-29 17:26:56,Unauthorized
BAAD1O1,2025-07-29 17:26:57,Unauthorized
EBAA01G1,2025-07-29 17:26:58,Unauthorized
KBAAG101EAEAA,2025-07-29 17:26:59,Unauthorized
BAA0101I4I,2025-07-29 17:27:01,Unauthorized
KBAA101,2025-07-29 17:27:02,Unauthorized
KBAA0101,2025-07-29 17:27:03,Unauthorized
BAAG1G1,2025-07-29 17:27:05,Unauthorized
BAAG1O1,2025-07-29 17:27:07,Unauthorized
58AAG101AAE,2025-07-29 17:27:13,Unauthorized
BAAG1G1A,2025-07-29 17:27:14,Unauthorized
KBAA0101BAAUA,2025-07-29 17:27:15,Unauthorized
BAAG1G1CD,2025-07-29 17:27:15,Unauthorized
5AAG101,2025-07-29 17:27:15,Unauthorized
KBAAG1G10414,2025-07-29 17:27:16,Unauthorized
KBAAG1O1BAGMA,2025-07-29 17:27:16,Unauthorized
BAAG1G1BAGVA,2025-07-29 17:27:17,Unauthorized
BBAAG101B4302,2025-07-29 17:27:17,Unauthorized
BAAG1G1BAUAT,2025-07-29 17:27:18,Unauthorized
BBAA01O1BAMAT,2025-07-29 17:27:19,Unauthorized
BBAA01O1BAGMA,2025-07-29 17:27:19,Unauthorized
KBAA0101BASMAT,2025-07-29 17:27:20,Unauthorized
BBAA01G1BACM44,2025-07-29 17:27:20,Unauthorized
BAA0101AGHAR,2025-07-29 17:27:21,Unauthorized
BAAO1O1846MUIAT,2025-07-29 17:27:21,Unauthorized
BAA0101BAGHET,2025-07-29 17:27:21,Unauthorized
KBAA01G1BAGUATM,2025-07-29 17:27:22,Unauthorized
1BAA0101,2025-07-29 17:27:22,Unauthorized
BAA0101,2025-07-29 17:27:23,Unauthorized
BBAA01GVEAAA,2025-07-29 17:27:24,Unauthorized
AA0101,2025-07-29 17:27:25,Unauthorized
BAA0101BAGMATL,2025-07-29 17:27:26,Unauthorized
EBAAG101BA044,2025-07-29 17:27:26,Unauthorized
BAAG101BAGMATI,2025-07-29 17:27:27,Unauthorized
BAA0101BAGHATI,2025-07-29 17:27:27,Unauthorized
EBAA0101BAGHATI,2025-07-29 17:27:28,Unauthorized
EBAA0101BAGMATI,2025-07-29 17:27:28,Unauthorized
BAA0101BAGMATI,2025-07-29 17:27:28,Authorized
BAA0101AGMATI,2025-07-29 17:27:29,Unauthorized
